"MultiAnalytics", "MultiAnalytics",
"MultiAnalytics_Configuration", "Multi Analytics",
"MultiAnalytics_Debug_Help_Message", "Enable Debug Mode",
"MultiAnalytics_Enable", "Enable Module",
"MultiAnalytics_Enable_Help_Message", "Enables Multi Analytics in your Magento Frontend",
"MultiAnalytics_EnableDebugMode", "Enable Debug Mode",
"MultiAnalytics_Facebook_Domain_Verification_Code", "Facebook Domain Verification Code",
"MultiAnalytics_Facebook_Domain_Verification_Code_Help_Message", "Example:- ufligc19hgf0euqanm3qjv11g2e5k5",
"MultiAnalytics_Facebook_Pixel_Code", "Facebook Pixel Code",
"MultiAnalytics_GeneralOptions", "General Options",
"MultiAnalytics_Generate_RSS_Feed", "Generate Google RSS2 Product Feed",
"MultiAnalytics_Google_Data_Layer_ID", "Google Data Layer ID",
"MultiAnalytics_Google_Data_Layer_ID_Help_Message", "Example:- UA-119002088-8",
"MultiAnalytics_Google_Product_Feed_Link", "Google Product Feed Link",
"MultiAnalytics_Google_Submit_Feed", "Google Submitting your feed",
"MultiAnalytics_Google_Tag_Options", "Google Tag Options",
"MultiAnalytics_Facebook Options", "Facebook Options",
"MultiAnalytics_Google_Tag_ID", "Google Tag ID",
"MultiAnalytics_Google_Tag_ID_Help_Message", "Example:- G-49NVV979NC",
"MultiAnalytics_Google_Tag_Manager_ID", "Google Tag Manager ID",
"MultiAnalytics_Google_Tag_Manager_ID_Help_Message", "Example:- GTM-TV81PR6",
"MultiAnalytics_RSS20Link", "RSS 2.0 Feed Link"
